discontinued_date,update_type,initial_posting_date,generic_name,update_date,therapeutic_category,dosage_form,company_name,status,availability,shortage_reason,brand_name,route,year,duration_days
,Revised,2020-04-02,Midazolam Hydrochloride Injection,2026-03-12,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Available, Available,MIDAZOLAM,"INTRAMUSCULAR, INTRAVENOUS",2020,2170
,Reverified,2023-04-28,Carboplatin Injection,2026-03-13,Oncology,Injection,"Hospira, Inc., a Pfizer Company",Current,Available, Available,CARBOPLATIN,INTRAVENOUS,2023,1050
2026-02-27,New,2026-02-27,Clindamycin Palmitate Hydrochloride Injection,2026-02-27,Anti-Infective,Injection,Amneal Pharmaceuticals,To Be Discontinued,To Be Discontinued,Not Applicable,CLINDAMYCIN PALMITATE HYDROCHLORIDE (PEDIATRIC),ORAL,2026,0
,Reverified,2022-10-12,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",2026-03-06,Psychiatry,Tablet,Sandoz Inc.,Current,Limited Availability,Shortage of an active ingredient,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL,2022,1241
2025-09-29,New,2025-09-29,Fondaparinux Sodium Injection,2025-09-29,Hematology,Injection,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",To Be Discontinued,To Be Discontinued,Not Applicable,FONDAPARINUX SODIUM,SUBCUTANEOUS,2025,0
2025-10-09,New,2025-10-09,Omeprazole Delayed Release Capsule,2025-10-09,Gastroenterology,,Sandoz Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,OMEPRAZOLE,ORAL,2025,0
2025-04-28,New,2025-04-28,"Divalproex Sodium Tablet, Delayed Release",2025-04-28,Neurology,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,DIVALPROEX SODIUM,ORAL,2025,0
2025-04-28,New,2025-04-28,Midodrine Hydrochloride Tablet,2025-04-28,Cardiovascular,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
,Reverified,2020-12-08,Amino Acid Injection,2026-03-06,Gastroenterology,Injection,Otsuka ICU Medical LLC,Current,Available, Available,AMINOSYN II,INTRAVENOUS,2020,1914
,Revised,2023-03-10,Clonazepam Tablet,2026-03-02,Neurology,Tablet,"Teva Pharmaceuticals USA, Inc.",Current,Available, Available,CLONAZEPAM,ORAL,2023,1088
,Reverified,2020-04-02,Midazolam Hydrochloride Injection,2025-09-29,Anesthesia,Injection,Gland Pharma Limited,Current,Available,Other,,,2020,2006
2025-04-07,New,2025-04-07,Haloperidol Decanoate Injection,2025-04-07,Psychiatry,Injection,Janssen Pharmaceuticals,To Be Discontinued,To Be Discontinued,Not Applicable,HALOPERIDOL DECANOATE,INTRAMUSCULAR,2025,0
2025-12-01,New,2025-12-01,Phenoxybenzamine Hydrochloride Capsule,2025-12-01,Cardiovascular,Capsule,Advanz Pharma (US) Corp.,To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
2025-06-13,New,2025-06-13,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,2025-06-13,Cardiovascular,Tablet,Torrent Pharma Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
,Revised,2022-10-12,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",2026-03-02,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",Current,Available,Other,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL,2022,1237
2026-02-10,New,2026-02-10,Cefepime Hydrochloride Injection,2026-02-10,Anti-Infective,Injection,"Fresenius Kabi USA, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,CEFEPIME,INTRAVENOUS,2026,0
2025-05-28,New,2025-05-28,Desonide Cream,2025-05-28,Dermatology,Cream,"Actavis Pharma, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,DESONIDE,TOPICAL,2025,0
,Reverified,2017-10-31,Morphine Sulfate Injection,2026-03-13,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",Current,Available, Available,MORPHINE SULFATE,INTRAVENOUS,2017,3055
2025-09-11,New,2025-09-11,Homatropine Methylbromide and Hydrocodone Bitartrate Syrup,2025-09-11,Analgesia/Addiction,Syrup,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,HYDROMET,ORAL,2025,0
2025-07-23,New,2025-07-23,"Potassium Chloride Tablet, Extended Release",2025-07-23,Endocrinology/Metabolism,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,KLOR-CON,ORAL,2025,0
,Reverified,2022-10-05,Etomidate Injection,2026-03-02,Anesthesia,Injection,"Caplin Steriles, Ltd.",Current,Available, Available,ETOMIDATE,INTRAVENOUS,2022,1244
2025-10-09,New,2025-10-09,Omeprazole Delayed Release Capsule,2025-10-09,Gastroenterology,,Sandoz Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,OMEPRAZOLE,ORAL,2025,0
,Reverified,2023-03-21,Clindamycin Phosphate Injection,2026-03-06,Anti-Infective,Injection,Sandoz Inc.,Current,Available, Available,CLINDAMYCIN IN 5 PERCENT DEXTROSE,INTRAVENOUS,2023,1081
,Reverified,2020-04-10,Dexmedetomidine Hydrochloride Injection,2026-03-04,Anesthesia,Injection,"Mylan Institutional, a Viatris Company",Current,Unavailable,Other,DEXMEDETOMIDINE HYDROCHLORIDE,INTRAVENOUS,2020,2154
,Revised,2023-10-06,Nitroglycerin Injection,2025-12-15,Cardiovascular,Injection,"American Regent, Inc.",Resolved,Resolved,Not Applicable,NITROGLYCERIN,INTRAVENOUS,2023,801
,Revised,2017-10-31,Hydromorphone Hydrochloride Injection,2026-03-13,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",Current,Limited Availability,Other,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",2017,3055
2025-10-01,New,2025-10-01,Quinapril Hydrochloride Tablet,2025-10-01,Cardiovascular,Tablet,Pfizer Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
2025-09-18,New,2025-09-18,Fluphenazine Hydrochloride Tablet,2025-09-18,Neurology,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,FLUPHENAZINE HYDROCHLORIDE,ORAL,2025,0
2025-05-14,New,2025-05-14,Oxybutynin Chloride Tablet,2025-05-14,Renal,Tablet,"Upsher-Smith Laboratories, LLC",To Be Discontinued,To Be Discontinued,Not Applicable,OXYBUTYNIN CHLORIDE,ORAL,2025,0
,Reverified,2023-03-10,Clonazepam Tablet,2026-01-05,Neurology,Tablet,Rubicon Research Private Limited,Current,Available, Available,CLONAZEPAM,ORAL,2023,1032
,Reverified,2020-04-10,Dexmedetomidine Hydrochloride Injection,2026-03-02,Anesthesia,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",Current,Available, Available,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,INTRAVENOUS,2020,2152
2026-03-10,New,2026-03-10,Peritoneal Dialysis Solution,2026-03-10,Renal,Solution,Fresenius Medical Care North America,To Be Discontinued,To Be Discontinued,Not Applicable,DELFLEX,INTRAPERITONEAL,2026,0
2026-02-27,New,2026-02-27,Itraconazole Capsule,2026-02-27,Anti-Infective,Capsule,Janssen Pharmaceuticals,To Be Discontinued,To Be Discontinued,Not Applicable,ITRACONAZOLE,ORAL,2026,0
,Revised,2022-06-28,Remifentanil Hydrochloride Injection,2026-03-12,Analgesia/Addiction,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Available, Available,REMIFENTANIL HYDROCHLORIDE,INTRAVENOUS,2022,1353
,Reverified,2020-04-07,Furosemide Injection,2026-02-25,Cardiovascular,Injection,"Fresenius Kabi USA, LLC",Current,Available, Available,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS",2020,2150
